,ref_number,recipient_legal_name,recipient_city,prog_name_en,prog_purpose_en,agreement_title_en,agreement_number,agreement_value,agreement_start_date,agreement_end_date,description_en,expected_results_en,additional_information_en,owner_org_title
206630,115-2018-2019-Q4-07649,G4 INSIGHTS INC,BURNABY | BURNABY,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",GC-128664S,GC-128664S,900000,12/21/16,9/30/19,The purpose of this Project is to scale up to a pilot demonstration plant for renewable natural gas to reach full continuous operation using forestry biomass.,The expected results are greater uptake of improvements to reduce greenhouse gas emissions.,"Amendment: Description / Duration of agreement / Value / Award previously disclosed for the 3rd Quarter of 2016-2017. Grant or contribution awarded and spanning more than one fiscal year.   
The Government of Alberta supports this project.",Natural Resources Canada | Ressources naturelles Canada
206305,115-2017-2018-Q4-07790,EBI ENERGIE INC.,BERTHIERVILLE | BERTHIERVILLE,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",EBI Énergie Inc. Natural Gas Stations in Lévis,GC-128594S,1000000,9/18/17,9/30/18,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the construction of one natural gas refuelling station in Lévis, Quebec.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Amendment: Description / Award previously disclosed for the 2nd Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206272,115-2018-2019-Q3-07347,SUNCOR ENERGY PRODUCTS PARTNERSHIP,MISSISSAUGA | MISSISSAUGA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Suncor Energy Project P-048,P-048,400000,12/21/18,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower-carbon vehicles and fuels in Canada by supporting the installation of 8 electric fast-charging stations in Ontario, Saskatchewan and Quebec.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206911,115-2019-2020-Q1-08255,HYDROGENICS CORPORATION,MISSISSAUGA | MISSISSAUGA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Hydrogenics Refuelling Station,GC-128588S,2000000,3/27/17,12/31/19,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the construction of two hydrogen refuelling stations in Ontario.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Amendment: Duration of agreement / Award previously disclosed for the 4th Quarter of 2017-2018. Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206518,115-2018-2019-Q4-07344,HTEC HYDROGEN TECHNOLOGY & ENERGY CORPORATION,NORTH VANCOUVER | NORTH VANCOUVER,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-045 HTEC #6 - South East Vancouver,P-045,1000000,1/2/19,12/31/19,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the construction of one hydrogen refuelling station in British Columbia.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206517,115-2018-2019-Q4-07345,HTEC HYDROGEN TECHNOLOGY & ENERGY CORPORATION,NORTH VANCOUVER | NORTH VANCOUVER,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-046 HTEC #5 - Westview Drive,P-046,1000000,1/2/19,12/31/19,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the construction of one hydrogen refuelling station in British Columbia","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206516,115-2018-2019-Q4-07343,GROUPE ALFRED BOIVIN,CHICOUTIMI | CHICOUTIMI,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-056 Groupe Alfred Boivin Station publique GNC-Saguenay,P-056,1000000,1/18/19,7/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the construction of one natural gas refuelling station in Quebec.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206240,115-2018-2019-Q3-07206,PAPINEAU INTERNATIONAL,SAINT-JEROME | SAINT-JEROME,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program - Papineau International S.E.C.,GC-129204S,8941,11/29/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206515,115-2018-2019-Q4-07352,PEI ENERGY CORPORATION,CHARLOTTETOWN | CHARLOTTETOWN,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-060 PEI Energy Corporation electric vehicle fast chargers,P-060,300000,1/17/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of six electric fast-charging station in Prince Edward Island.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206514,115-2018-2019-Q4-07350,SUNCOR ENERGY PRODUCTS PARTNERSHIP,MISSISSAUGA | MISSISSAUGA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Energy Project – P-071,P-071,1300000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower-carbon vehicles and fuels in Canada by supporting the installation of 26 electric fast-charging stations in Ontario.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206511,115-2018-2019-Q4-07581,CHANGE ENERGY SERVICES INC.,OAKVILLE | OAKVILLE,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",GC-129252S,GC-129252S,240000,2/18/19,3/31/20,This project supports activities focused on vehicle fuel efficiency.,The expected results are greater uptake of improvements to reduce greenhouse gas emissions.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206508,115-2018-2019-Q4-07413,CANADIAN TIRE CORPORATION LIMITED MASTER OFFICE,TORONTO | TORONTO,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.","Canadian Tire Corporation, Limited – British Columbia, Alberta",P-054,800000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 17 electric fast-charging stations in Alberta and British Columbia.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206507,115-2018-2019-Q4-07412,CANADIAN TIRE CORPORATION LIMITED MASTER OFFICE,TORONTO | TORONTO,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.","Canadian Tire Corporation, Limited - Ontario",P-053,1000000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 20 electric fast-charging stations in Ontario.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206506,115-2018-2019-Q4-07296,SUNCOR ENERGY PRODUCTS PARTNERSHIP,MISSISSAUGA | MISSISSAUGA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Energy Project – P-050,P-050,800000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower-carbon vehicles and fuels in Canada by supporting the installation of 16 electric fast-charging stations in British Columbia.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206505,115-2018-2019-Q4-07397,HYDROGENICS CORPORATION,MISSISSAUGA | MISSISSAUGA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-039 Hydrogenics Corporation Electrification with Hydrogen,P-039,1000000,2/13/19,7/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the construction of two hydrogen refuelling stations in Quebec.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206504,115-2018-2019-Q4-07563,2587265 ONTARIO INC.,TORONTO | TORONTO,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-042 2587265 Ontario Inc.,P-042,3500000,2/4/19,1/30/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 70 electric fast-charging stations in Ontario (South).","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206500,115-2018-2019-Q4-07719,FPINNOVATIONS,POINTE CLAIRE | POINTE-CLAIRE,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",SmartDriver for Foresty Trucks eLearning,GC-129257S,187983,2/5/19,5/31/20,This project supports fuel efficiency within Canada's on-road heavy-duty fleet industry.,The expected result is a reduction of the environmental footprint of participating Canadian carriers.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206499,115-2018-2019-Q4-07361,FOUNDATION FOR THE STUDY OF PROCESSES OF GOVERNMENT IN CANADA,OTTAWA | OTTAWA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Youth Forum 360,GC-129256S,91103,1/9/19,9/30/19,The purpose of this agreement is to increase engagement and capacity building amongst key target audiences on low carbon transportation options.,"The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206497,115-2018-2019-Q4-07388,ACADIA UNIVERSITY,WOLFVILLE | WOLFVILLE,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-047 Acadia University - Level 3 Charging Station,P-047,50000,1/16/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of one EV charger in Nova Scotia.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206246,115-2018-2019-Q3-07208,S&M TRUCKING LIMITED,EDWARDSVILLE | EDWARDSVILLE,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program - S&M TRUCKING LIMITED,GC-129196S,1500,11/29/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206496,115-2018-2019-Q4-07378,HYDRO-QUEBEC,MONTRÉAL | MONTRÉAL,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-064 Hydro-Québec - South shore of the St. Lawrence River,P-064,993000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 20 EV chargers in Quebec.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206247,115-2018-2019-Q3-07201,ARMOUR TRANSPORT INC,MONCTON | MONCTON,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program - Armour Transportation Systems Inc.,GC-129197S,2500,12/18/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206248,115-2018-2019-Q3-07202,CHRISTIAN LAROCQUE SERVICES LTEE,HAUT-LAMEQUE | HAUT-LAMEQUE,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program - Christian Larocque Services Ltée,GC-129198S,3479,11/29/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206249,115-2018-2019-Q3-07203,TRANSPORT MATTE LTEE,DONNACONA | DONNACONA,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program - Transport Matte Ltée,GC-129199S,9987,11/29/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206250,115-2018-2019-Q3-07205,CLASSIC FREIGHT SYSTEMS (2011) LTD,DARTMOUTH | DARTMOUTH,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program - Classic Freight Systems (2011) LTD,GC-129201S,4803,12/18/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206493,115-2018-2019-Q4-07401,PROVINCE OF BRITISH COLUMBIA,SAANICHTON | SAANICHTON,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-043 - Electric Vehicle Fast Charging,P-043,900000,2/14/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 18 electric fast-charging stations in British Columbia.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206490,115-2018-2019-Q4-07583,CSA GROUP,TORONTO | TORONTO,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",GC-129339S,GC-129339S,91500,2/22/19,3/31/20,"This project supports the development of codes and standards for alternative fuels, vehicles and charging/refuelling infrastructure.","The expected results are greater availability of new/revised codes and standards aligned with the United States, to advance the use of alternative fuels, vehicles and charging/refuelling infrastructure.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206489,115-2018-2019-Q4-07582,UNIVERSITY OF CALGARY,CALGARY | CALGARY,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",GC-129340S,GC-129340S,62500,2/28/19,3/31/20,"This project supports low-carbon transportation activities, specifically how to accelerate the deployment of zero-emission vehicles in municipalities across Canada.",The expected results are greater uptake of improvements to reduce greenhouse gas emissions.,Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206487,115-2018-2019-Q4-07149,BRITISH COLUMBIA HYDRO AND POWER AUTHORITY,VANCOUVER | VANCOUVER,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-044 BC Hyrdo Critical EV Infrastructure Phase 3,P-044,1150000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 23 electric fast-charging stations in British Columbia.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206486,115-2018-2019-Q4-07565,2587265 ONTARIO INC.,TORONTO | TORONTO,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",P-073 2587265 Ontario Inc.,P-073,1500000,2/4/19,9/30/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 30 electric fast-charging stations in Ontario (North).","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206251,115-2018-2019-Q3-07309,FEDERATED CO-OPERATIVES LTD,SASKATOON | SASKATOON,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",Green Freight Assessment Program -  Federated Co-operatives Limited,GC-129207S,7375,12/18/18,3/1/19,This project assists carriers to determine where improvements can be made to lower fuel costs and reduce greenhouse gas emissions.,The expected result is an increased investment in fuel reduction equipment and improved operational efficiency of the freight transportation industry.,,Natural Resources Canada | Ressources naturelles Canada
206484,115-2018-2019-Q4-07414,CANADIAN TIRE CORPORATION LIMITED MASTER OFFICE,TORONTO | TORONTO,Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.","Canadian Tire Corporation, Limited – Saskatchewan, Manitoba",P-069,900000,1/2/19,1/31/20,"The purpose of this agreement is to increase awareness, availability and use of lower carbon vehicles and fuels in Canada by supporting the installation of 18 electric fast-charging stations in Manitoba and Saskatchewan.","The expected results are increased awareness, availability and use of lower-carbon vehicles and fuels in Canada.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
206483,115-2018-2019-Q4-07836,AMERICAN INSTITUTE OF CHEMICAL ENGINEERS,"NEW YORK, 10005 | NEW YORK, 10005",Transportation and Alternative Fuels,"To support the awareness, availability and use of lower carbon transportation options, such as energy efficient technologies and practices and lower carbon vehicles and fuels, in Canada. It uses transfer payments to support (1) the deployment of electric or alternative fuel infrastructure, (2) engagement and capacity building amongst key target audiences, (3) development of codes and standards related to the use of alternative fuels in transportation, and (4) advancing the awareness, availability or use of lower carbon transportation options.",GC-129348S,GC-129348S,40000,3/21/19,3/31/20,"This project supports the development of codes and standards for alternative fuels, improving vehicle fuel efficiency, low-carbon vehicles and charging/refuelling infrastructure.","The expected results are greater availability of new/revised codes and standards aligned with the United States, to advance the use of alternative fuels, vehicles and charging/refuelling infrastructure.",Grant or contribution awarded and spanning more than one fiscal year.,Natural Resources Canada | Ressources naturelles Canada
