recipient_city,year,agreement_value
Markham,2014,3149868
Markham,2015,393260
Markham,2016,908064
Markham,2018,2634344
Markham,2019,644103
"Markham, Ontario",2017,2668814
"Markham, Ontario",2018,31167
Markstay,2018,10080
"Markstay, Ontario",2017,25463
Marmora,2018,15591
Marmora,2019,2100
"Marmora, Ontario",2018,26000
Marsden,2018,1316
Marsden,2019,3097
Marsh Lake,2018,6279
Marsh Lake,2019,16732
Marshfield,2018,3866
Marshfield,2019,8980
Marsoui,2019,11952
Marston,2018,7411
Marston,2019,21852
Martensville,2018,8727
Martensville,2019,31932
"Martensville, Saskatchewan",2017,50000
Martintown,2018,16800
Martinville,2019,3000
Marwayne,2011,75000
Marwayne,2013,150000
Marwayne,2018,1632
Marwayne,2019,5775
Mary's Harbour,2010,35513
Mary's Harbour,2018,44538
Mary's Harbour,2019,58310
Maryfield,2018,1316
Maryfield,2019,17980
Marystown,2006,183518
Marystown,2007,270983
Marystown,2008,83621
Marystown,2010,113456
Marystown,2011,113006
Marystown,2012,370067
Marystown,2013,31633
Marystown,2015,25288
Marystown,2016,111887
Marystown,2018,84549
Marystown,2019,112281
"Marystown, Newfoundland and Labrador|Marystown, Terre-Neuve-et-Labrador",2017,332999
Marysvale,2018,16794
Marysvale,2019,18522
Mascouche,2006,142054
Mascouche,2007,175451
Mascouche,2011,827567
Mascouche,2012,64870
Mascouche,2013,135258
Mascouche,2014,32963
Mascouche,2015,661245
Mascouche,2016,32638
Mascouche,2018,194320
Mascouche,2019,644330
"Mascouche, Quebec|Mascouche, Québec",2017,1384610
Mashteuiatsh,2011,102433
Mashteuiatsh,2012,1962552
Mashteuiatsh,2018,49988
Mashteuiatsh,2019,66412
Maskinongé,2018,9906
Maskinongé,2019,43940
Maskwacis,2019,8508570
Masset,2008,116505
Masset,2012,109638
Masset,2013,50000
Masset,2018,27469
Masset,2019,61943
Massett,2007,255942
Massett,2019,3327
"Massett, British Columbia|Massett, Colombie-Britannique",2016,100559
Massey,2011,26881
Massey,2012,46328
Massey,2013,462107
Massey,2018,29871
Massey,2019,6840
Massey Drive,2018,11942
Massey Drive,2019,12220
Massueville,2018,9906
Massueville,2019,26152
Matachewan,2008,2051063
Matachewan,2018,11760
Matachewan,2019,0
"Matachewan, Ontario",2017,50000
Matagami,2018,21458
Matagami,2019,49370
Matane,2006,100000
Matane,2011,93977
Matane,2012,35132
Matane,2014,169444
Matane,2018,113183
Matane,2019,218551
"Matane, Quebec|Matane, Québec",2017,50000
"Matane, Quebec|Matane, Québec",2018,50000
Matapédia,2018,2471
Matapédia,2019,11468
Mates Corner,2018,1802
Mates Corner,2019,1840
Matheson,2018,14314
Matlock,2018,3101
Matlock,2019,3686
Mattawa,2018,41580
Mattawa,2019,0
Matthews Settlement,2018,1352
Matthews Settlement,2019,2760
Mattice,2018,5040
Mattice,2019,10070
Maugerville,2010,50000
Maugerville,2015,39100
Maugerville,2018,1577
Mavillette,2018,4295
Mavillette,2019,4514
Maxville,2018,18985
Mayerthorpe,2018,10682
Mayerthorpe,2019,17078
"Mayerthorpe, Alberta",2017,26211
Mayfield,2019,1472
Mayne Island,2018,14663
Mayne Island,2019,8822
Mayne island,2018,1520
Maynooth,2018,5040
Maynooth,2019,0
Mayo,2011,217380
Mayo,2018,24125
Mayo,2019,37892
McAdam,2007,35392
McAdam,2018,33893
McAdam,2019,57206
McArthurs Mills,2015,37000
McAuley,2018,1340
McAuley,2019,4318
McBride,2008,38875
McBride,2018,39112
McBride,2019,72403
"McBride, British Columbia|McBride, Colombie-Britannique",2017,27351
McCallum Settlement,2018,1650
McCallum Settlement,2019,1734
McCreary,2018,4441
McCreary,2019,6868
McDonalds Corners,2018,16800
"McDonalds Corners, Ontario",2017,27360
McDougall,2014,25704
McDougall,2018,30374
"McGregor, Ontario",2017,50000
McIvers,2018,5224
McIvers,2019,15147
McKerrow,2018,3360
McLean,2018,2631
McLean,2019,3591
McLennan,2018,7418
McLennan,2019,9556
McLeod Lake,2018,15443
McMasterville,2018,19498
McPhersons Mills,2018,3436
McPhersons Mills,2019,3095
Mcmasterville,2019,31500
Meacham,2019,7181
Meadow Creek,2018,3020
Meadow Lake,2006,146199
Meadow Lake,2007,313583
Meadow Lake,2011,437928
Meadow Lake,2015,100000
Meadow Lake,2018,5263
Meadow Lake,2019,43707
Meadow Portage,2019,1193
Meadows,2018,1005
Meadows,2019,7129
Meaford,2012,50000
Meaford,2015,31785
Meaford,2018,35475
Meaford,2019,366064
Meat Cove,2018,5086
Meat Cove,2019,3611
Meath Park,2019,996
Medicine Hat,2006,227611
Medicine Hat,2007,1075089
Medicine Hat,2008,379769
Medicine Hat,2009,216391
Medicine Hat,2010,467006
Medicine Hat,2011,1481150
Medicine Hat,2012,415115
Medicine Hat,2013,606361
Medicine Hat,2014,1624127
Medicine Hat,2015,471820
Medicine Hat,2016,341678
Medicine Hat,2018,404792
Medicine Hat,2019,5654760
"Medicine Hat,",2019,16800
"Medicine Hat, Alberta",2016,243648
"Medicine Hat, Alberta",2017,49879
"Medicine Hat, Alberta",2018,32000
Meductic,2018,1577
Meductic,2019,1840
Meductic | Médoctec,2018,1802
Meeting Creek,2019,8400
Melancthon,2018,3360
Melbourne,2018,3294
Melbourne,2019,29748
Meldrum  Bay,2018,3797
Melfort,2006,29630
Melfort,2007,260362
Melfort,2008,151776
Melfort,2009,175106
Melfort,2010,174517
Melfort,2015,50000
Melfort,2018,55346
Melfort,2019,61843
"Melfort, Sask",2019,2876
"Melfort, Saskatchewan",2018,50000
Melita,2006,49298
Melita,2007,73122
Melita,2008,84601
Melita,2009,77898
Melita,2010,71148
Melita,2019,7372
Melrose,2019,1553
Melvern Square,2019,2322
Melville,2006,47367
Melville,2007,72551
Melville,2008,84588
Melville,2009,77936
Melville,2010,77676
Melville,2011,182592
Melville,2012,45025
Melville,2014,132811
Melville,2016,341118
Melville,2018,18350
Melville,2019,103493
Membertou,2008,2153709
Membertou,2013,6018556
Membertou,2018,279231
Membertou,2019,10183
Memramcook,2006,330138
Memramcook,2007,163732
Memramcook,2008,91499
Memramcook,2018,70566
Memramcook,2019,140509
Meota,2018,7894
Meota,2019,25193
Mercier,2007,166798
Mercier,2018,41602
Mercier,2019,109045
Merigomish,2018,6872
Merigomish,2019,9286
Merlin,2008,50000
Merlin,2018,1680
Mermaid,2019,1472
Merrickville,2010,911247
Merrickville,2012,331422
Merrickville,2018,26511
Merrit,2019,26466
Merritt,2006,93430
Merritt,2007,99760
Merritt,2008,99741
Merritt,2009,85443
Merritt,2010,111258
Merritt,2011,28330
Merritt,2018,179469
Merritt,2019,182097
"Merritt, British Columbia|Merritt, Colombie-Britannique",2017,25641
"Merritt, British Columbia|Merritt, Colombie-Britannique",2018,44525
Merville,2012,37880
Merville,2018,6489
Merville,2019,10133
Mesachie Lake,2018,9108
Mesachie Lake,2019,7756
Messines,2011,57548
Messines,2018,5994
Messines,2019,7438
Metcalfe,2018,35717
Metcalfe,2019,127515
Meteghan,2018,7155
Meteghan,2019,18872
Metochosin,2018,16423
Miami,2018,8878
Miami,2019,6864
Midale,2018,6577
Midale,2019,5663
Middle Arm,2018,11190
Middle Arm,2019,34348
Middle Bay,2018,3294
Middle LaHave,2019,1041
Middle Lake,2018,163890
Middle Lake,2019,13737
Middle Musquodoboit,2007,197436
Middle Musquodoboit,2018,19616
Middle Musquodoboit,2019,17380
Middle Sackville,2018,23586
Middle Sackville,2019,23257
Middleton,2011,31735
Middleton,2018,22997
Middleton,2019,41416
Midhurst,2014,5383670
Midhurst,2016,38925
Midhurst,2018,78040
Midhurst,2019,14327243
"Midhurst, Ontario",2017,44460
Midland,2013,50000
Midland,2014,75170
Midland,2018,134032
Midland,2019,24437
"Midland, Ontario",2017,50000
Midway,2018,21660
Midway,2019,34211
Migisi Sahgaigan,2019,4500
Mikado,2018,1316
Milan,2018,12352
Milan,2019,13204
Mildmay,2018,1680
Milestone,2018,4363
Milestone,2019,8449
Milford,2018,5332
Milford,2019,10835
Milford Station,2018,14727
Milk River,2018,21216
Milk River,2019,16178
Mill Bay,2018,3039
Mill Bay,2019,9422
Mill Cove,2018,3167
Mill Cove,2019,3235
Millarville,2018,3709
Millarville,2019,9556
Millbrook,2016,32798
Millbrook,2018,31344
Millbrook,2019,91218
Mille-Isles,2018,3600
Mille-Isles,2019,7000
Miller Lake,2018,8400
Millertown,2018,5660
Millertown,2019,3192
Millet,2008,534565
Millet,2018,21365
Millet,2019,31709
Millgrove,2018,1680
Milltown,2018,22673
Milltown,2019,20557
Millville,2018,8250
Millville,2019,15476
Milton,2011,90000
Milton,2012,50000
Milton,2015,50000
Milton,2016,67100
Milton,2018,346594
Milton,2019,1055349
"Milton , Ontario",2017,27830
"Milton, Ontario",2017,82319
Milton-George's Brook,2019,3055
Milverton,2018,7888
Miminegash,2019,25000
Mindemoya,2014,50000
Mindemoya,2015,27625
Mindemoya,2018,19130
"Mindemoya, Ontario",2017,50000
Minden,2010,32500
Minden,2011,88425
Minden,2015,50000
Minden,2018,22201
Minden,2019,0
Mindern,2018,0
Mine Centre,2018,15188
Minesing,2012,50000
Minesing,2018,38640
Minett,2015,50000
Mineville,2018,10063
Mineville,2019,3611
Ming's Bight,2019,4582
Mingan,2019,22500
Miniota,2018,3101
Miniota,2019,14744
Ministers Island,2018,8785
Minitonas,2018,5781
Minitonas,2019,3686
Minnedosa,2006,26872
Minnedosa,2009,26795
Minnedosa,2010,27062
Minnedosa,2011,27062
Minnedosa,2012,137256
Minnedosa,2018,22266
Minnedosa,2019,30182
Minto,2018,38779
Minto,2019,107842
"Minto, New Brunswick|Minto, Nouveau-Brunswick",2018,32500
Minton,2018,2631
Mirabel,2007,26180
Mirabel,2008,49818
Mirabel,2009,98911
Mirabel,2010,98608
Mirabel,2011,132866
Mirabel,2012,69082
Mirabel,2014,156212
Mirabel,2015,757815
Mirabel,2016,365388
Mirabel,2018,165097
Mirabel,2019,984296
"Mirabel, Quebec|Mirabel, Québec",2017,30147
Miramichi,2006,56875
Miramichi,2007,87941
Miramichi,2008,108107
Miramichi,2010,166849
Miramichi,2011,191599
Miramichi,2012,116651
Miramichi,2014,50000
Miramichi,2015,279116
Miramichi,2018,416443
Miramichi,2019,912769
"Miramichi, New Brunswick|Miramichi, Nouveau-Brunswick",2016,125836
"Miramichi, New Brunswick|Miramichi, Nouveau-Brunswick",2017,87195
Miscouche,2018,5257
Miscouche,2019,1717
"Mishkeegogamang, Ontario",2017,5784712
Mission,2006,289016
Mission,2007,219358
Mission,2008,664892
Mission,2009,387061
Mission,2010,395872
Mission,2011,368498
Mission,2012,396149
Mission,2013,516551
Mission,2018,124816
Mission,2019,164624
"Mission, British Columbia|Mission, Colombie-Britannique",2018,403615
Mississaga,2009,449609
Mississaga,2010,479822
Mississauga,2006,2583163
Mississauga,2007,2489543
Mississauga,2008,2394813
Mississauga,2009,2217251
Mississauga,2010,2841260
Mississauga,2011,6079378
Mississauga,2012,1862936
Mississauga,2013,1846131
Mississauga,2014,1137195
Mississauga,2015,5359525
Mississauga,2016,4633838
Mississauga,2017,22747
Mississauga,2018,18155833
Mississauga,2019,6042271
"Mississauga, Ontario",2016,438082
"Mississauga, Ontario",2017,8821040
"Mississauga, Ontario",2018,1102446
Mistissini,2018,6587
Mistissini,2019,15934
Mitchell,2015,46735
Mitchell,2018,14197
Mitchell,2019,11678
Mitchell's Bay,2018,1680
Moberly Lake,2014,48000
Moberly Lake,2018,3451
Moberly Lake,2019,12098
"Moberly Lake, British Columbia|Moberly Lake, Colombie-Britannique",2017,26624
Mobert,2018,15188
Mobile,2018,5972
Mobile,2019,3055
Moffet,2019,24266
Monarch,2018,1632
Monastery,2019,3095
Moncton,2006,3067979
Moncton,2007,1844401
Moncton,2008,1825050
Moncton,2009,1873906
Moncton,2010,1856349
Moncton,2011,1728926
Moncton,2012,1800270
Moncton,2013,835396
Moncton,2014,2422011
Moncton,2015,374261
Moncton,2016,254964
Moncton,2018,697714
Moncton,2019,4502849
"Moncton, New Brunswick|Moncton, Nouveau-Brunswick",2016,87194
"Moncton, New Brunswick|Moncton, Nouveau-Brunswick",2017,547583
"Moncton, New Brunswick|Moncton, Nouveau-Brunswick",2018,81290
Monetville,2010,50000
Monetville,2018,10080
Mono,2018,61217
Mono,2019,6461
Mont St-Hilaire,2009,138507
Mont St-Hilaire,2010,129849
Mont St-Hilaire,2011,955298
Mont St-Hilaire,2012,108050
Mont St-Hilaire,2014,171878
Mont-Carmel,2018,7848
Mont-Carmel,2019,52102
Mont-Joli,2006,116186
Mont-Joli,2007,72715
Mont-Joli,2008,82980
Mont-Joli,2009,26180
Mont-Joli,2010,82907
Mont-Joli,2018,69733
Mont-Joli,2019,332056
"Mont-Joli, Quebec|Mont-Joli, Québec",2018,76576
Mont-Laurier,2006,452578
Mont-Laurier,2008,149674
Mont-Laurier,2009,178509
Mont-Laurier,2011,201765
Mont-Laurier,2012,173631
Mont-Laurier,2014,38405
Mont-Laurier,2015,421001
Mont-Laurier,2018,77274
Mont-Laurier,2019,631228
Mont-Louis,2018,23133
Mont-Louis,2019,70581
Mont-Royal,2018,43635
Mont-Royal,2019,107742
"Mont-Royal, Quebec|Mont-Royal, Québec",2017,27054
Mont-Saint-Grégoire,2018,22872
Mont-Saint-Grégoire,2019,126068
Mont-Saint-Hilaire,2006,293479
Mont-Saint-Hilaire,2007,108157
Mont-Saint-Hilaire,2008,127588
Mont-Saint-Hilaire,2009,144874
Mont-Saint-Hilaire,2010,199682
Mont-Saint-Hilaire,2014,270511
Mont-Saint-Hilaire,2016,198411
Mont-Saint-Hilaire,2018,96197
Mont-Saint-Hilaire,2019,207139
"Mont-Saint-Hilaire, Quebec|Mont-Saint-Hilaire, Québec",2017,131764
"Mont-Saint-Hilaire, Quebec|Mont-Saint-Hilaire, Québec",2018,491277
Mont-Saint-Michel,2019,7968
Mont-Saint-Pierre,2018,12377
Mont-Saint-Pierre,2019,16570
Mont-St-Pierre,2019,5976
Mont-Tremblant,2007,49257
Mont-Tremblant,2009,158970
Mont-Tremblant,2011,123981
Mont-Tremblant,2012,142426
Mont-Tremblant,2013,93406
Mont-Tremblant,2018,57552
Mont-Tremblant,2019,163144
Mont-saint-Hilaire,2009,114774
Mont-saint-Hilaire,2011,88454
Montague,2007,151204
Montague,2008,142804
Montague,2009,94151
Montague,2010,114466
Montague,2011,145739
Montague,2012,142358
Montague,2013,29100
Montague,2018,139469
Montague,2019,90495
Montcalm,2018,5764
Montcalm,2019,7968
Montcerf-Lytton,2019,3938
Montebello,2018,13481
Montebello,2019,30900
Montmagny,2009,90029
Montmagny,2014,144941
Montmagny,2016,163347
Montmagny,2018,35430
Montmagny,2019,76436
"Montmagny, Quebec|Montmagny, Québec",2017,388011
"Montmagny, Quebec|Montmagny, Québec",2018,50000
Montmartre,2018,5506
Montmartre,2019,16191
Montpellier,2019,57495
Montreal,2008,51316
Montreal,2009,16201630
Montreal,2010,26067913
Montreal,2011,10809531
Montreal,2012,22498259
Montreal,2013,10477445
Montreal,2014,235114
Montreal,2016,12613183
Montreal,2018,853772
Montreal North,2012,68101
Montreal North,2013,101358
Montreal North,2016,217770
Montreal-Nord,2011,213601
Montreal-Nord,2012,78655
Montreal-Nord,2013,235218
Montreal-North,2009,212152
Montreal-North,2010,613912
Montreal-North,2013,38216
Montreal-West,2019,0
Montrose,2018,3040
Montréal,2006,18827208
Montréal,2007,23286826
Montréal,2008,29031853
Montréal,2009,10390103
Montréal,2010,73525
Montréal,2013,966269
Montréal,2014,9036875
Montréal,2015,41828291
Montréal,2016,1568674
Montréal,2017,1009091
Montréal,2018,15049017
Montréal,2019,85765171
Montréal Courcelles,2019,13942
"Montréal Nord, Quebec|Montréal Nord, Québec",2017,98555
Montréal Ouest,2019,27500
"Montréal, Quebec|Montréal, Québec",2016,2270511
"Montréal, Quebec|Montréal, Québec",2017,22170208
"Montréal, Quebec|Montréal, Québec",2018,5468036
Montréal-Est,2018,18808
Montréal-Nord,2006,72190
Montréal-Nord,2007,149477
Montréal-Nord,2008,145286
Montréal-Nord,2012,179675
Montréal-Nord,2014,131444
Montréal-Nord,2015,28018
Montréal-Nord,2017,872149
Montréal-Nord,2018,633568
Montréal-Nord,2019,9550
"Montréal-Nord, Quebec|Montréal-Nord, Québec",2017,1015287
Montréal-Ouest,2018,30880
Moonbeam,2010,48780
Moonbeam,2018,3360
Mooretown,2008,50000
Mooretown,2011,75000
Mooretown,2013,33550
Mooretown,2018,31920
"Mooretown, Ontario",2018,50000
Moose Factory,2010,4000000
Moose Factory,2018,53061
Moose Factory,2019,26535780
"Moose Factory, Ontario",2017,75120
Moose Jaw,2006,159087
Moose Jaw,2007,363481
Moose Jaw,2008,536285
Moose Jaw,2009,238242
Moose Jaw,2010,238098
Moose Jaw,2011,95660
Moose Jaw,2012,184551
Moose Jaw,2013,194053
Moose Jaw,2015,92250
Moose Jaw,2016,32198
Moose Jaw,2018,261816
Moose Jaw,2019,286881
"Moose Jaw, Saskatchewan",2017,56812
"Moose Jaw, Saskatchewan",2018,28350
Moosehorn,2018,7117
Moosehorn,2019,10532
Mooseland,2018,2945
Moosomin,2018,17089
Moosomin,2019,57601
Moosonee,2018,1680
Morden,2011,28400
Morden,2018,31822
Morden,2019,99617
Morell,2006,424127
Morell,2007,179077
Morell,2008,319916
Morell,2009,98900
Morell,2010,135709
Morell,2011,85372
Morell,2012,179987
Morell,2013,84885
Morell,2014,85963
Morell,2018,10508
Morell,2019,14067
"Morell, Prince Edward Island|Morell, Île-du-Prince-Édouard",2018,30550
Moreton's Harbour,2019,3119
Moricetown,2018,6901
"Moricetown, British Columbia|Moricetown, Colombie-Britannique",2017,1360258
Morin-Heights,2018,9058
Morin-Heights,2019,35750
Morinville,2006,132435
Morinville,2007,90931
Morinville,2008,253409
Morinville,2010,478860
Morinville,2016,108556
Morinville,2018,124559
Morinville,2019,157477
"Morinville, Alberta",2017,2066725
Morley,2006,58800
Morley,2019,47500
Morpeth,2018,25637
Morrin,2018,4896
Morrin,2019,4200
Morris,2007,72310
Morris,2008,77288
Morris,2012,25710
Morris,2018,20997
Morris,2019,43288
Morrisburg,2011,25040
Morrisburg,2016,31530
Morrisburg,2018,96197
Morrisburg,2019,1119430
"Morrisburg, Ontario",2018,936162
Morriston,2007,464558
Morse,2018,3048
Morse,2019,5733
Morson,2018,7119
Moser River,2018,2209
Moser River,2019,4656
Mosher's Corner,2018,3436
Mosher's Corner,2019,3611
Mossbank,2018,10041
Mossbank,2019,23535
Mossley,2018,3360
Mossomin,2018,2631
Mount Albert,2018,5040
Mount Brydges,2018,53158
"Mount Brydges, Ontario",2017,37103
Mount Currie,2007,41960
Mount Currie,2009,300950
Mount Currie,2018,5698
Mount Currie,2019,8501350
Mount Forest,2018,26579
"Mount Forest, Ontario",2017,35750
Mount Hope,2016,128650
Mount Hope,2018,50457
"Mount Hope, Ontario",2017,67634
Mount Mellick,2019,3283
Mount Pearl,2009,28867
Mount Pearl,2010,358023
Mount Pearl,2011,126370
Mount Pearl,2012,87345
Mount Pearl,2013,277386
Mount Pearl,2014,306114
Mount Pearl,2015,96266
Mount Pearl,2016,112737
Mount Pearl,2018,297948
Mount Pearl,2019,1256267
"Mount Pearl, Newfoundland and Labrador|Mount Pearl, Terre-Neuve-et-Labrador",2017,161996
"Mount Pearl, Newfoundland and Labrador|Mount Pearl, Terre-Neuve-et-Labrador",2018,277742
Mount Pisgah,2019,1380
Mount Pleasant,2008,262162
Mount Pleasant,2011,60667
Mount Pleasant,2018,6739
Mount Royal,2019,23914
Mount Stewart,2018,30224
Mount Stewart,2019,137535
Mount Stewart ,2019,25000
Mount Uniacke,2018,3300
Mount Uniacke,2019,1734
Mount William,2018,1540
Mountain,2018,7157
Mt Pearl,2006,50180
Mt Pearl,2007,46900
Mt Pearl,2008,53760
Mt Pearl,2009,60480
Mt Pearl,2011,60025
Mt-Elgin,2008,42000
Mt. Elgin,2008,42000
Mt. Pearl,2006,134956
Mt. Pearl,2007,261018
Mt. Pearl,2008,152890
Mt. Pearl,2009,172089
Mt. Pearl,2011,67399
Mt. Pearl,2015,36885
Mt.Brydges,2018,5040
Mt.Currie,2008,25593
Muenster,2010,50000
Muenster,2018,2632
Muenster,2019,1328
Muirkirk,2018,3360
Mulgrave,2010,93071
Mulgrave,2018,15588
Mulgrave,2019,21323
Mulgrave-et-Derry,2019,30000
Mulhurst,2019,30457
Mulhurst Bay,2018,31212
Mulmur,2018,8362
Muncey,2018,13440
Muncho Lake,2018,1520
Mundare,2019,4200
Mundleville,2018,1577
Mundleville,2019,1380
Muniac,2018,1577
Munster,2018,20160
Murdochville,2018,12170
Murdochville,2019,62307
Murphy Cove,2018,1320
Murphy Cove,2019,1388
Murray Harbour,2018,5254
Murray Harbour,2019,12972
Murray Harbour ,2018,1388
Murray River,2018,3465
Murray River,2019,6374
Musgrave Harbour,2018,15930
Musgrave Harbour,2019,16643
Musgravetown,2006,127065
Musgravetown,2008,87773
Musgravetown,2009,121645
Musgravetown,2010,92527
Musgravetown,2012,92492
Musgravetown,2018,5598
Musgravetown,2019,6110
Muskoday,2010,7500000
Muskoday,2018,10522
Muskrat Dam,2018,16800
Musquash,2018,8032
Musquash,2019,4109
Musquobodoit Hbr,2008,94916
Musquodoboit Harbour,2007,123520
Musquodoboit Harbour,2008,94557
Musquodoboit Harbour,2018,32801
Musquodoboit Harbour,2019,374051
Métabetchouan,2018,1080
Métabetchouan,2019,10500
Métabetchouan-Lac-à-la-Croix,2018,50478
Métabetchouan-Lac-à-la-Croix,2019,111125
Métis-sur-Mer,2018,19197
Métis-sur-Mer,2019,15936
NANAIMO,2019,8822
NEGUAC,2018,1577
NELSON,2019,3781
NEW ROSS,2018,1540
NEW WESTMINSTER,2019,17644
NICOLET,2018,5760
NORTH VANCOUVER,2019,20465
Nackawic,2018,10593
Nackawic,2019,4600
Naicam,2015,40000
Naicam,2018,11356
Naicam,2019,69140
Nain,2007,37489
Nain,2019,15191
Nairn Centre,2018,1680
Nakina,2018,11391
Nakina,2019,8068
Nakusp,2006,146534
Nakusp,2007,146632
Nakusp,2008,192106
Nakusp,2010,235675
Nakusp,2018,22085
Nakusp,2019,47089
Nampa,2019,13755
Namur,2018,7614
Namur,2019,14968
Nanaimo,2006,1384200
Nanaimo,2007,1751318
Nanaimo,2008,841562
Nanaimo,2009,1636734
Nanaimo,2010,1217161
Nanaimo,2011,2546504
Nanaimo,2012,788671
Nanaimo,2014,3531041
Nanaimo,2015,35000
Nanaimo,2016,2726025
Nanaimo,2018,2040073
Nanaimo,2019,7257553
"Nanaimo, British Columbia|Nanaimo, Colombie-Britannique",2017,1593449
"Nanaimo, British Columbia|Nanaimo, Colombie-Britannique",2018,32000
Nanoose Bay,2018,9528
Nanoose Bay,2019,8292
Nantes,2018,2471
Nantes,2019,3000
Nanticoke,2018,11391
Nanton,2018,25543
Nanton,2019,41319
Napan,2018,11546
Napan,2019,8218
Napanee,2018,96606
Napanee,2019,4902
Napierville,2018,30294
Napierville,2019,64454
Naramata,2018,13801
Naramata,2019,35288
Narol,2018,3101
Narol,2019,6356
Nasonworth,2018,1352
Nasonworth,2019,3220
Natashquan,2018,35844
Natashquan,2019,130482
Natuashish,2010,1486269
Natuashish,2017,2700140
Natuashish,2019,3497241
"Natuashish, Newfoundland and Labrador|Natuashish, Terre-Neuve-et-Labrador",2017,2373640
Naughton,2018,50276
"Naughton, Ontario",2017,2624995
Nauwigewauk,2018,17100
Nauwigewauk,2019,19199
Navan,2015,43100
Navan,2018,1666
Necum Teuch,2019,10459
Nedelec,2018,1440
Nedelec,2019,10000
Neebing,2018,1680
Neepawa,2006,49787
Neepawa,2013,28864
Neepawa,2018,24208
Neepawa,2019,89799
Neguac,2007,31507
Neguac,2018,62775
Neguac,2019,61863
Neil's Harbour,2018,20700
Neil's Harbour,2019,24595
Neilburg,2018,1316
Neilburg,2019,2876
Nelson,2006,359091
Nelson,2007,698089
Nelson,2008,444008
Nelson,2009,846425
Nelson,2011,1659502
Nelson,2012,118810
Nelson,2013,425865
Nelson,2014,985285
Nelson,2015,4307811
Nelson,2018,2345153
Nelson,2019,2387124
"Nelson, British Columbia|Nelson, Colombie-Britannique",2016,139941
Nemaska,2007,12429290
Nemaska,2010,85467
Nemaska,2012,2713228
Nemiah Valley,2018,31053
Nepean,2010,27300
Nepean,2014,334628
Nepean,2015,50000
Nepean,2016,299564
Nepean,2018,258811
Nepean,2019,286921
"Nepean, Ontario",2017,32206
Nesbitt,2018,1340
Nestleton,2018,7594
Nestor Falls,2018,9397
Neudorf,2018,1316
Neufchâtel,2018,2882
Neuville,2018,19142
Neuville,2019,65391
New Aiyansh,2007,82810
New Aiyansh,2009,89955
New Aiyansh,2013,1392014
New Bandon,2018,7154
New Bandon,2019,13810
New Bandon ,2018,1577
New Bonaventure,2018,5970
New Bonaventure,2019,9165
New Carlisle,2007,49279
New Carlisle,2008,98037
New Carlisle,2010,149995
New Carlisle,2012,95990
New Carlisle,2013,115199
New Carlisle,2015,50000
New Carlisle,2018,25727
New Carlisle,2019,209369
"New Carlisle, Quebec|New Carlisle, Québec",2017,448954
New Denmark,2018,14404
New Denmark,2019,7191
New Denver,2018,22916
New Denver,2019,20462
New Dominion,2018,3866
New Dominion,2019,19848
New Dundee,2018,3360
New Germany,2018,4400
New Germany,2019,5431
New Glascow,2019,3611
New Glasgow,2006,96746
New Glasgow,2007,369880
New Glasgow,2008,133597
New Glasgow,2009,462268
New Glasgow,2011,714422
New Glasgow,2012,297714
New Glasgow,2013,321401
New Glasgow,2014,198950
New Glasgow,2015,199075
New Glasgow,2018,140156
New Glasgow,2019,205380
"New Glasgow, Nova Scotia|New Glasgow, Nouvelle-Écosse",2018,79153
New Hamburg,2018,70982
New Hamburg,2019,97121
New Harbour,2018,10669
New Harbour,2019,8910
New Hazelton,2018,8008
New Hazelton,2019,13384
New Liskeard,2018,80844
New Liskeard,2019,40396
"New Liskeard, Ontario",2017,315020
New London,2018,1734
New Lowell,2018,1680
New Maryland,2009,50000
New Maryland,2018,7882
New Maryland,2019,11646
New Mills,2018,1577
New Mills,2019,1380
New Minas,2006,148984
New Minas,2007,226629
New Minas,2008,241255
New Minas,2012,94844
New Minas,2018,37173
New Minas,2019,32485
New Norway,2018,1632
New Norway,2019,2100
New Perlican,2007,95209
New Perlican,2008,33680
New Perlican,2009,37889
New Perlican,2010,32075
New Perlican,2011,32095
New Perlican,2012,32115
New Perlican,2013,32136
New Perlican,2014,32135
New Perlican,2015,28899
New Perlican,2016,31719
New Perlican,2018,2009
New Perlican,2019,5791
New Perth,2019,1839
New Richmond,2009,79484
New Richmond,2010,144827
New Richmond,2011,86494
New Richmond,2014,110338
New Richmond,2016,483437
New Richmond,2018,28146
New Richmond,2019,92326
"New Richmond, Quebec|New Richmond, Québec",2017,255370
New Ross,2018,19820
New Ross,2019,26476
New Waterford,2006,147457
New Waterford,2007,424257
New Waterford,2011,151877
New Waterford,2018,32574
New Waterford,2019,33603
New Westminister,2019,17644
New Westminster,2006,1585550
New Westminster,2007,2110627
New Westminster,2008,1823536
New Westminster,2009,2501533
New Westminster,2010,3036302
New Westminster,2011,1627166
New Westminster,2012,804122
New Westminster,2013,2640763
New Westminster,2015,469948
New Westminster,2016,544027
New Westminster,2018,1031942
New Westminster,2019,2397585
"New Westminster, British Columbia|New Westminster, Colombie-Britannique",2016,152427
"New Westminster, British Columbia|New Westminster, Colombie-Britannique",2017,1239193
New Westminter,2008,673626
New Westminter,2010,45389
New Wstminster,2019,9926
New-Richmond,2007,67406
Newbrook,2019,9500
Newburgh,2018,1680
Newbury,2018,1680
Newcastle,2018,19791
Newcastle,2019,0
Newmarket,2006,192214
Newmarket,2007,1099865
Newmarket,2008,1957361
